'839', '2019-03-30 16:35:00', 'Adelaide Oval', 'R2', '2', 'Port Adelaide', '13', '10', '88', 'Carlton', '11', '6', '72', '16'
'846', '2019-04-04 19:20:00', 'Adelaide Oval', 'R3', '3', 'Adelaide', '10', '15', '75', 'Geelong', '14', '15', '99', '-24'
'859', '2019-04-13 16:05:00', 'Adelaide Oval', 'R4', '4', 'Port Adelaide', '14', '8', '92', 'Richmond', '15', '9', '99', '-7'
'871', '2019-04-21 16:10:00', 'Adelaide Oval', 'R5', '5', 'Adelaide', '18', '11', '119', 'Gold Coast', '6', '10', '46', '73'
'875', '2019-04-26 19:20:00', 'Adelaide Oval', 'R6', '6', 'Port Adelaide', '12', '16', '88', 'North Melbourne', '11', '6', '72', '16'
'890', '2019-05-05 16:10:00', 'Adelaide Oval', 'R7', '7', 'Adelaide', '7', '9', '51', 'Fremantle', '5', '4', '34', '17'
'896', '2019-05-11 19:25:00', 'Adelaide Oval', 'R8', '8', 'Port Adelaide', '9', '14', '68', 'Adelaide', '13', '10', '88', '-20'
'906', '2019-05-19 12:40:00', 'Adelaide Oval', 'R9', '9', 'Port Adelaide', '13', '11', '89', 'Gold Coast', '7', '9', '51', '38'
'912', '2019-05-25 16:05:00', 'Adelaide Oval', 'R10', '10', 'Adelaide', '10', '13', '73', 'West Coast', '13', '7', '85', '-12'
'930', '2019-06-08 19:10:00', 'Adelaide Oval', 'R12', '12', 'Adelaide', '12', '10', '82', 'GWS', '9', '7', '61', '21'
'933', '2019-06-13 19:20:00', 'Adelaide Oval', 'R13', '13', 'Adelaide', '15', '11', '101', 'Richmond', '9', '14', '68', '33'
'943', '2019-06-22 19:10:00', 'Adelaide Oval', 'R14', '14', 'Port Adelaide', '9', '13', '67', 'Geelong', '8', '8', '56', '11'
'950', '2019-06-29 19:25:00', 'Adelaide Oval', 'R15', '15', 'Port Adelaide', '5', '11', '41', 'Footscray', '10', '6', '66', '-25'
'957', '2019-07-06 16:05:00', 'Adelaide Oval', 'R16', '16', 'Adelaide', '5', '14', '44', 'Port Adelaide', '15', '11', '101', '-57'
'971', '2019-07-14 16:10:00', 'Adelaide Oval', 'R17', '17', 'Port Adelaide', '6', '13', '49', 'Brisbane Lions', '14', '13', '97', '-48'
'972', '2019-07-19 19:20:00', 'Adelaide Oval', 'R18', '18', 'Adelaide', '10', '15', '75', 'Essendon', '15', '6', '96', '-21'
'986', '2019-07-27 19:25:00', 'Adelaide Oval', 'R19', '19', 'Port Adelaide', '7', '13', '55', 'GWS', '8', '8', '56', '-1'
'995', '2019-08-03 19:25:00', 'Adelaide Oval', 'R20', '20', 'Adelaide', '14', '8', '92', 'St Kilda', '10', '10', '70', '22'
'1001', '2019-08-10 13:45:00', 'Adelaide Oval', 'R21', '21', 'Port Adelaide', '15', '13', '103', 'Sydney', '7', '14', '56', '47'
'1011', '2019-08-17 16:05:00', 'Adelaide Oval', 'R22', '22', 'Adelaide', '6', '12', '48', 'Collingwood', '17', '12', '114', '-66'
